logg,Teff,Z,xi,a,b,Filt,Met,Mod
5.00,2600.,0.0,2.0,0.9041,0.0043,C,F,qs
5.50,2600.,0.0,2.0,0.8677,0.0091,C,F,qs
2.50,2700.,0.0,2.0,0.9072,0.1751,C,F,qs
3.00,2700.,0.0,2.0,0.8701,0.1875,C,F,qs
3.50,2700.,0.0,2.0,0.8445,0.1454,C,F,qs
4.00,2700.,0.0,2.0,0.8309,0.1309,C,F,qs
4.50,2700.,0.0,2.0,0.8414,0.1024,C,F,qs
5.00,2700.,0.0,2.0,0.8521,0.0703,C,F,qs
5.50,2700.,0.0,2.0,0.8456,0.0453,C,F,qs
2.50,2800.,0.0,2.0,0.8501,0.2370,C,F,qs
3.00,2800.,0.0,2.0,0.8313,0.2261,C,F,qs
3.50,2800.,0.0,2.0,0.7906,0.1979,C,F,qs
4.00,2800.,0.0,2.0,0.7679,0.1829,C,F,qs
4.50,2800.,0.0,2.0,0.7671,0.1678,C,F,qs
5.00,2800.,0.0,2.0,0.7811,0.1371,C,F,qs
5.50,2800.,0.0,2.0,0.8033,0.0910,C,F,qs
2.50,2900.,0.0,2.0,0.7823,0.3072,C,F,qs
3.00,2900.,0.0,2.0,0.7779,0.2777,C,F,qs
3.50,2900.,0.0,2.0,0.7580,0.2352,C,F,qs
4.00,2900.,0.0,2.0,0.7349,0.2037,C,F,qs
4.50,2900.,0.0,2.0,0.6996,0.2104,C,F,qs
5.00,2900.,0.0,2.0,0.7046,0.1938,C,F,qs
5.50,2900.,0.0,2.0,0.7358,0.1426,C,F,qs
2.50,3000.,0.0,2.0,0.7295,0.3681,C,F,qs
3.00,3000.,0.0,2.0,0.7170,0.3426,C,F,qs
3.50,3000.,0.0,2.0,0.7136,0.2941,C,F,qs
4.00,3000.,0.0,2.0,0.6978,0.2129,C,F,qs
4.50,3000.,0.0,2.0,0.6740,0.2182,C,F,qs
5.00,3000.,0.0,2.0,0.6426,0.2269,C,F,qs
5.50,3000.,0.0,2.0,0.6641,0.1937,C,F,qs
5.00,3100.,0.0,2.0,0.4436,0.2879,C,F,qs
5.50,3100.,0.0,2.0,0.4602,0.2840,C,F,qs
3.00,3200.,0.0,2.0,0.6980,0.1457,C,F,qs
3.50,3200.,0.0,2.0,0.5606,0.2302,C,F,qs
4.00,3200.,0.0,2.0,0.4774,0.2684,C,F,qs
2.50,3300.,0.0,2.0,0.7262,0.2298,C,F,qs
3.00,3300.,0.0,2.0,0.7656,0.0770,C,F,qs
5.00,3300.,0.0,2.0,0.3925,0.2923,C,F,qs
5.50,3300.,0.0,2.0,0.3836,0.2966,C,F,qs
2.50,3400.,0.0,2.0,0.7258,0.2403,C,F,qs
3.00,3400.,0.0,2.0,0.7618,0.0617,C,F,qs
3.50,3400.,0.0,2.0,0.6381,0.1459,C,F,qs
4.00,3400.,0.0,2.0,0.5105,0.2297,C,F,qs
4.50,3400.,0.0,2.0,0.4269,0.2713,C,F,qs
5.00,3400.,0.0,2.0,0.3787,0.2908,C,F,qs
5.50,3400.,0.0,2.0,0.3578,0.2989,C,F,qs
2.50,3500.,0.0,2.0,0.7328,0.2398,C,F,qs
3.00,3500.,0.0,2.0,0.7639,0.0518,C,F,qs
3.50,3500.,0.0,2.0,0.6459,0.1159,C,F,qs
4.00,3500.,0.0,2.0,0.5194,0.2102,C,F,qs
4.50,3500.,0.0,2.0,0.4261,0.2625,C,F,qs
5.00,3500.,0.0,2.0,0.3374,0.2746,C,F,qs
5.50,3500.,0.0,2.0,0.3391,0.2972,C,F,qs
2.50,3600.,0.0,2.0,0.7464,0.2350,C,F,qs
3.00,3600.,0.0,2.0,0.7891,0.0255,C,F,qs
3.50,3600.,0.0,2.0,0.6674,0.0913,C,F,qs
4.00,3600.,0.0,2.0,0.5292,0.1924,C,F,qs
4.50,3600.,0.0,2.0,0.4260,0.2537,C,F,qs
5.00,3600.,0.0,2.0,0.3618,0.2815,C,F,qs
5.50,3600.,0.0,2.0,0.3254,0.2934,C,F,qs
2.50,3700.,0.0,2.0,0.7419,0.2480,C,F,qs
3.00,3700.,0.0,2.0,0.8085,0.0344,C,F,qs
3.50,3700.,0.0,2.0,0.7267,0.0382,C,F,qs
4.00,3700.,0.0,2.0,0.5544,0.1683,C,F,qs
4.50,3700.,0.0,2.0,0.4307,0.2431,C,F,qs
5.00,3700.,0.0,2.0,0.3577,0.2765,C,F,qs
5.50,3700.,0.0,2.0,0.3157,0.2892,C,F,qs
2.50,3800.,0.0,2.0,0.7236,0.2753,C,F,qs
3.00,3800.,0.0,2.0,0.7888,0.0801,C,F,qs
3.50,3800.,0.0,2.0,0.7506,0.0148,C,F,qs
4.00,3800.,0.0,2.0,0.5871,0.1353,C,F,qs
4.50,3800.,0.0,2.0,0.4478,0.2250,C,F,qs
5.00,3800.,0.0,2.0,0.3594,0.2676,C,F,qs
5.50,3800.,0.0,2.0,0.3106,0.2831,C,F,qs
2.50,3900.,0.0,2.0,0.6920,0.3123,C,F,qs
3.00,3900.,0.0,2.0,0.7470,0.1480,C,F,qs
3.50,3900.,0.0,2.0,0.7919,-0.0235,C,F,qs
4.00,3900.,0.0,2.0,0.6279,0.0911,C,F,qs
4.50,3900.,0.0,2.0,0.4761,0.1923,C,F,qs
5.00,3900.,0.0,2.0,0.3718,0.2527,C,F,qs
5.50,3900.,0.0,2.0,0.3120,0.2751,C,F,qs
3.00,4000.,0.0,2.0,0.6988,0.2147,C,F,qs
