logg,Teff,Z,xi,a,b,Filt,Met,Mod
5.00,2600.,0.0,2.0,0.9861,-0.0505,I,F,qs
5.50,2600.,0.0,2.0,0.9708,-0.0690,I,F,qs
2.50,2700.,0.0,2.0,0.9969,0.0878,I,F,qs
3.00,2700.,0.0,2.0,0.9327,0.1327,I,F,qs
3.50,2700.,0.0,2.0,0.8627,0.1482,I,F,qs
4.00,2700.,0.0,2.0,0.8298,0.1558,I,F,qs
4.50,2700.,0.0,2.0,0.8408,0.1271,I,F,qs
5.00,2700.,0.0,2.0,0.8597,0.0881,I,F,qs
5.50,2700.,0.0,2.0,0.8911,0.0255,I,F,qs
2.50,2800.,0.0,2.0,0.8965,0.1937,I,F,qs
3.00,2800.,0.0,2.0,0.8595,0.2069,I,F,qs
3.50,2800.,0.0,2.0,0.7591,0.2492,I,F,qs
4.00,2800.,0.0,2.0,0.7019,0.2699,I,F,qs
4.50,2800.,0.0,2.0,0.7024,0.2515,I,F,qs
5.00,2800.,0.0,2.0,0.7256,0.2121,I,F,qs
5.50,2800.,0.0,2.0,0.7831,0.1320,I,F,qs
2.50,2900.,0.0,2.0,0.8078,0.2857,I,F,qs
3.00,2900.,0.0,2.0,0.7694,0.2970,I,F,qs
3.50,2900.,0.0,2.0,0.6896,0.3215,I,F,qs
4.00,2900.,0.0,2.0,0.6206,0.3357,I,F,qs
4.50,2900.,0.0,2.0,0.5703,0.3521,I,F,qs
5.00,2900.,0.0,2.0,0.5880,0.3220,I,F,qs
5.50,2900.,0.0,2.0,0.6530,0.2404,I,F,qs
2.50,3000.,0.0,2.0,0.7321,0.3711,I,F,qs
3.00,3000.,0.0,2.0,0.6691,0.4021,I,F,qs
3.50,3000.,0.0,2.0,0.6048,0.4219,I,F,qs
4.00,3000.,0.0,2.0,0.5448,0.3753,I,F,qs
4.50,3000.,0.0,2.0,0.4995,0.3954,I,F,qs
5.00,3000.,0.0,2.0,0.4693,0.3988,I,F,qs
5.50,3000.,0.0,2.0,0.5250,0.3379,I,F,qs
5.00,3100.,0.0,2.0,0.3010,0.3618,I,F,qs
5.50,3100.,0.0,2.0,0.3089,0.3693,I,F,qs
3.00,3200.,0.0,2.0,0.5552,0.2862,I,F,qs
3.50,3200.,0.0,2.0,0.3998,0.3564,I,F,qs
4.00,3200.,0.0,2.0,0.3223,0.3642,I,F,qs
2.50,3300.,0.0,2.0,0.5776,0.4046,I,F,qs
3.00,3300.,0.0,2.0,0.5881,0.2560,I,F,qs
5.00,3300.,0.0,2.0,0.2501,0.3434,I,F,qs
5.50,3300.,0.0,2.0,0.2460,0.3410,I,F,qs
2.50,3400.,0.0,2.0,0.5165,0.4679,I,F,qs
3.00,3400.,0.0,2.0,0.5520,0.2663,I,F,qs
3.50,3400.,0.0,2.0,0.4174,0.3287,I,F,qs
4.00,3400.,0.0,2.0,0.3130,0.3565,I,F,qs
4.50,3400.,0.0,2.0,0.2615,0.3465,I,F,qs
5.00,3400.,0.0,2.0,0.2373,0.3336,I,F,qs
5.50,3400.,0.0,2.0,0.2285,0.3271,I,F,qs
2.50,3500.,0.0,2.0,0.4607,0.5197,I,F,qs
3.00,3500.,0.0,2.0,0.5173,0.2783,I,F,qs
3.50,3500.,0.0,2.0,0.4187,0.2934,I,F,qs
4.00,3500.,0.0,2.0,0.3155,0.3364,I,F,qs
4.50,3500.,0.0,2.0,0.2577,0.3346,I,F,qs
5.00,3500.,0.0,2.0,0.2235,0.2956,I,F,qs
5.50,3500.,0.0,2.0,0.2171,0.3143,I,F,qs
2.50,3600.,0.0,2.0,0.4200,0.5571,I,F,qs
3.00,3600.,0.0,2.0,0.5136,0.2789,I,F,qs
3.50,3600.,0.0,2.0,0.4331,0.2568,I,F,qs
4.00,3600.,0.0,2.0,0.3267,0.3081,I,F,qs
4.50,3600.,0.0,2.0,0.2599,0.3180,I,F,qs
5.00,3600.,0.0,2.0,0.2266,0.3098,I,F,qs
5.50,3600.,0.0,2.0,0.2100,0.3025,I,F,qs
2.50,3700.,0.0,2.0,0.3973,0.5782,I,F,qs
3.00,3700.,0.0,2.0,0.4939,0.3197,I,F,qs
3.50,3700.,0.0,2.0,0.4796,0.2071,I,F,qs
4.00,3700.,0.0,2.0,0.3517,0.2757,I,F,qs
4.50,3700.,0.0,2.0,0.2699,0.2977,I,F,qs
5.00,3700.,0.0,2.0,0.2282,0.2972,I,F,qs
5.50,3700.,0.0,2.0,0.2071,0.2918,I,F,qs
2.50,3800.,0.0,2.0,0.3851,0.5915,I,F,qs
3.00,3800.,0.0,2.0,0.4612,0.3776,I,F,qs
3.50,3800.,0.0,2.0,0.5054,0.1679,I,F,qs
4.00,3800.,0.0,2.0,0.3875,0.2340,I,F,qs
4.50,3800.,0.0,2.0,0.2911,0.2738,I,F,qs
5.00,3800.,0.0,2.0,0.2364,0.2822,I,F,qs
5.50,3800.,0.0,2.0,0.2083,0.2811,I,F,qs
