MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.707,0.33598182862837817,50.0,1.4525260414139263,1.4525260414139263,0.0,0
0.707,0.33598182862837817,55.0,1.5241088505237512,1.5241088505237512,0.0,0
0.707,0.33598182862837817,60.0,1.5811045071329968,1.5811045071329968,0.0,0
0.707,0.33598182862837817,65.0,1.6253014374269334,1.6253014374269334,0.0,0
0.707,0.33598182862837817,70.0,1.829022188731565,1.659151138357823,0.16987105037374195,1
0.707,0.33598182862837817,75.0,3.5040724652706294,1.684030230517029,1.8200422347536005,1
0.707,0.33598182862837817,80.0,4.296850696629881,1.7016042080690212,2.5952464885608597,1
0.707,0.33598182862837817,85.0,4.299040592595205,1.7120874869655904,2.5869531056296142,1
0.707,0.33598182862837817,90.0,4.300323098680961,1.7158386960432153,2.5844844026377456,1
0.707,0.42813323987193935,0.0,-0.0,-0.0,0.0,0
0.707,0.42813323987193935,5.0,0.17316289536681373,0.17316289536681373,0.0,0
0.707,0.42813323987193935,10.0,0.3441721180774999,0.3441721180774999,0.0,0
0.707,0.42813323987193935,15.0,0.5105525514423965,0.5105525514423965,0.0,0
0.707,0.42813323987193935,20.0,0.6703387758996824,0.6703387758996824,0.0,0
0.707,0.42813323987193935,25.0,0.8214740013899333,0.8214740013899333,0.0,0
0.707,0.42813323987193935,30.0,0.9619929886768308,0.9619929886768308,0.0,0
0.707,0.42813323987193935,35.0,1.0897814998700908,1.0897814998700908,0.0,0
0.707,0.42813323987193935,40.0,1.2040636802098381,1.2040636802098381,0.0,0
0.707,0.42813323987193935,45.0,1.3032896252014443,1.3032896252014443,0.0,0
0.707,0.42813323987193935,50.0,1.3879498420822594,1.3879498420822594,0.0,0
0.707,0.42813323987193935,55.0,1.4583728953009056,1.4583728953009056,0.0,0
0.707,0.42813323987193935,60.0,1.5151429826295484,1.5151429826295484,0.0,0
0.707,0.42813323987193935,65.0,1.5591917514030764,1.5591917514030764,0.0,0
0.707,0.42813323987193935,70.0,1.5929544369552062,1.5929544369552062,0.0,0
0.707,0.42813323987193935,75.0,2.3021776495586916,1.6173007198545868,0.6848769297041049,1
0.707,0.42813323987193935,80.0,4.219974082900575,1.6342090260063113,2.585765056894264,1
0.707,0.42813323987193935,85.0,4.217964271841002,1.644225068538603,2.5737392033023996,1
