MS Mass,Period,Inclination,Native Amplitude,Only-Horizon Amplitude,Amplitude Difference,Eclipsing?
0.1,0.1,0.0,-0.0,-0.0,0.0,0
0.1,0.1,5.0,0.026562491563750783,0.026562491563750783,0.0,0
0.1,0.1,10.0,0.05308467870487789,0.05308467870487789,0.0,0
0.1,0.1,15.0,0.07852458924225696,0.07852458924225696,0.0,0
0.1,0.1,20.0,0.10336896203893028,0.10336896203893028,0.0,0
0.1,0.1,25.0,0.12721386098355206,0.12721386098355206,0.0,0
0.1,0.1,30.0,0.1496301564364773,0.1496301564364773,0.0,0
0.1,0.1,35.0,0.17060644411536813,0.17060644411536813,0.0,0
0.1,0.1,40.0,0.19014484198529363,0.19014484198529363,0.0,0
0.1,0.1,45.0,0.2074173723578671,0.2074173723578671,0.0,0
0.1,0.1,50.0,0.2232077178320543,0.2232077178320543,0.0,0
0.1,0.1,55.0,0.23664216643705738,0.23664216643705738,0.0,0
0.1,0.1,60.0,0.24880393662316966,0.24880393662316966,0.0,0
0.1,0.1,65.0,0.2581744214303349,0.2581744214303349,0.0,0
0.1,0.1,70.0,0.26610653140832446,0.26593684203805135,0.00016968937027311837,1
0.1,0.1,75.0,0.3693854722116998,0.27195694919880514,0.09742852301289467,1
0.1,0.1,80.0,0.5769956389338526,0.27586094618454804,0.3011346927493046,1
0.1,0.1,85.0,0.9793308057454836,0.27836106755766676,0.7009697381878168,1
0.1,0.1,90.0,1.4410031661817362,0.2791584303975968,1.1618447357841393,1
0.1,0.12742749857031338,0.0,-0.0,-0.0,0.0,0
0.1,0.12742749857031338,5.0,0.024562693212956767,0.024562693212956767,0.0,0
0.1,0.12742749857031338,10.0,0.04903815477143295,0.04903815477143295,0.0,0
0.1,0.12742749857031338,15.0,0.0724386711439998,0.0724386711439998,0.0,0
0.1,0.12742749857031338,20.0,0.09564160071874592,0.09564160071874592,0.0,0
0.1,0.12742749857031338,25.0,0.11765524689603415,0.11765524689603415,0.0,0
0.1,0.12742749857031338,30.0,0.1383421316341753,0.1383421316341753,0.0,0
0.1,0.12742749857031338,35.0,0.1579292556321697,0.1579292556321697,0.0,0
0.1,0.12742749857031338,40.0,0.17614057129913038,0.17614057129913038,0.0,0
0.1,0.12742749857031338,45.0,0.19227125882597088,0.19227125882597088,0.0,0
0.1,0.12742749857031338,50.0,0.2069195667953329,0.2069195667953329,0.0,0
0.1,0.12742749857031338,55.0,0.21949885821427292,0.21949885821427292,0.0,0
0.1,0.12742749857031338,60.0,0.23061471940482708,0.23061471940482708,0.0,0
0.1,0.12742749857031338,65.0,0.2397886980659638,0.2397886980659638,0.0,0
0.1,0.12742749857031338,70.0,0.24706451154928977,0.24706451154928977,0.0,0
0.1,0.12742749857031338,75.0,0.28655470804362104,0.2525944156011535,0.033960292442467566,1
0.1,0.12742749857031338,80.0,0.4822204893222285,0.2562927640437722,0.22592772527845628,1
0.1,0.12742749857031338,85.0,0.8927577821641861,0.2584469874510962,0.6343107947130899,1
0.1,0.12742749857031338,90.0,1.473337465693783,0.2592997300030077,1.2140377356907752,1
0.1,0.16237767391887217,0.0,-0.0,-0.0,0.0,0
0.1,0.16237767391887217,5.0,0.022573406865429583,0.022573406865429583,0.0,0
0.1,0.16237767391887217,10.0,0.04490095869263089,0.04490095869263089,0.0,0
0.1,0.16237767391887217,15.0,0.06652315609432179,0.06652315609432179,0.0,0
0.1,0.16237767391887217,20.0,0.08790564281196292,0.08790564281196292,0.0,0
0.1,0.16237767391887217,25.0,0.1083130080155962,0.1083130080155962,0.0,0
0.1,0.16237767391887217,30.0,0.12717849560252983,0.12717849560252983,0.0,0
0.1,0.16237767391887217,35.0,0.14516507936615314,0.14516507936615314,0.0,0
0.1,0.16237767391887217,40.0,0.16183368856932728,0.16183368856932728,0.0,0
0.1,0.16237767391887217,45.0,0.17684089222554603,0.17684089222554603,0.0,0
0.1,0.16237767391887217,50.0,0.1903525966418558,0.1903525966418558,0.0,0
0.1,0.16237767391887217,55.0,0.20191761354210747,0.20191761354210747,0.0,0
0.1,0.16237767391887217,60.0,0.2121087700867995,0.2121087700867995,0.0,0
0.1,0.16237767391887217,65.0,0.22075686914934875,0.22075686914934875,0.0,0
0.1,0.16237767391887217,70.0,0.22752758187023248,0.22752758187023248,0.0,0
0.1,0.16237767391887217,75.0,0.23244379040243174,0.23244379040243174,0.0,0
0.1,0.16237767391887217,80.0,0.38327510977668205,0.23575688647487386,0.1475182233018082,1
0.1,0.16237767391887217,85.0,0.7949802738225076,0.2381349715600298,0.5568453022624777,1
0.1,0.16237767391887217,90.0,1.4935315383742176,0.23881444061054852,1.254717097763669,1
0.1,0.20691380811147897,0.0,-0.0,-0.0,0.0,0
0.1,0.20691380811147897,5.0,0.02063288286112855,0.02063288286112855,0.0,0
0.1,0.20691380811147897,10.0,0.041051250111218116,0.041051250111218116,0.0,0
0.1,0.20691380811147897,15.0,0.06078633627546474,0.06078633627546474,0.0,0
0.1,0.20691380811147897,20.0,0.08038079669772452,0.08038079669772452,0.0,0
0.1,0.20691380811147897,25.0,0.09871587286611308,0.09871587286611308,0.0,0
0.1,0.20691380811147897,30.0,0.1162804427860121,0.1162804427860121,0.0,0
0.1,0.20691380811147897,35.0,0.1326387964760623,0.1326387964760623,0.0,0
0.1,0.20691380811147897,40.0,0.14790898064726204,0.14790898064726204,0.0,0
0.1,0.20691380811147897,45.0,0.1616357812851641,0.1616357812851641,0.0,0
0.1,0.20691380811147897,50.0,0.17393285907895503,0.17393285907895503,0.0,0
