MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.1,0.1,0.0,-0.0,-0.0,0.0,0
0.1,0.1,15.0,0.09663331955868563,0.09663331955868563,0.0,0
0.1,0.1,30.0,0.18402361960674635,0.18402361960674635,0.0,0
0.1,0.1,45.0,0.25479202211051677,0.25479202211051677,0.0,0
0.1,0.1,60.0,0.3045182133388783,0.3045182133388783,0.0,0
0.1,0.1,75.0,0.4104440562344789,0.33267513446972363,0.07776892176475525,1
0.1,0.1,90.0,7.287535147266928,0.34128721978915966,6.946247927477768,1
0.1,0.31622776601683794,0.0,-0.0,-0.0,0.0,0
0.1,0.31622776601683794,15.0,0.06403067789639531,0.06403067789639531,0.0,0
0.1,0.31622776601683794,30.0,0.12131619142972269,0.12131619142972269,0.0,0
0.1,0.31622776601683794,45.0,0.16882488705413212,0.16882488705413212,0.0,0
0.1,0.31622776601683794,60.0,0.20270023820697283,0.20270023820697283,0.0,0
0.1,0.31622776601683794,75.0,0.22187264471317447,0.22187264471317447,0.0,0
0.1,0.31622776601683794,90.0,8.10291067416905,0.22794480205444473,7.874965872114606,1
0.1,1.0,0.0,-0.0,-0.0,0.0,0
0.1,1.0,15.0,0.03797382799905018,0.03797382799905018,0.0,0
0.1,1.0,30.0,0.07256405814546152,0.07256405814546152,0.0,0
0.1,1.0,45.0,0.1010347464923019,0.1010347464923019,0.0,0
0.1,1.0,60.0,0.12163666887535668,0.12163666887535668,0.0,0
0.1,1.0,75.0,0.1333841555158708,0.1333841555158708,0.0,0
0.1,1.0,90.0,8.099684798629204,0.13716579799291875,7.962519000636285,1
0.1,3.1622776601683795,0.0,-0.0,-0.0,0.0,0
0.1,3.1622776601683795,15.0,0.020422553020437956,0.020422553020437956,0.0,0
0.1,3.1622776601683795,30.0,0.03898545801620312,0.03898545801620312,0.0,0
0.1,3.1622776601683795,45.0,0.05440627367404258,0.05440627367404258,0.0,0
0.1,3.1622776601683795,60.0,0.06573239624450204,0.06573239624450204,0.0,0
0.1,3.1622776601683795,75.0,0.072230086024538,0.072230086024538,0.0,0
0.1,3.1622776601683795,90.0,8.100792320564269,0.07440549587040271,8.026386824693866,1
0.1,10.0,0.0,-0.0,-0.0,0.0,0
0.1,10.0,15.0,0.009441090022072848,0.009441090022072848,0.0,0
0.1,10.0,30.0,0.017972885763517767,0.017972885763517767,0.0,0
0.1,10.0,45.0,0.02513976907513538,0.02513976907513538,0.0,0
0.1,10.0,60.0,0.030528653763828628,0.030528653763828628,0.0,0
0.1,10.0,75.0,0.03360800451717109,0.03360800451717109,0.0,0
0.1,10.0,90.0,8.102471623514099,0.034719463442711374,8.067752160071388,1
0.1778279410038923,0.1,0.0,-0.0,-0.0,0.0,0
0.1778279410038923,0.1,15.0,0.15521001789489403,0.15521001789489403,0.0,0
0.1778279410038923,0.1,30.0,0.2954544360111726,0.2954544360111726,0.0,0
0.1778279410038923,0.1,45.0,0.4088689731916335,0.4088689731916335,0.0,0
0.1778279410038923,0.1,60.0,0.488143387445725,0.488143387445725,0.0,0
0.1778279410038923,0.1,75.0,0.7611569423778926,0.5329954980552121,0.22816144432268048,1
0.1778279410038923,0.1,90.0,6.897846589348495,0.5468292237611159,6.351017365587379,1
0.1778279410038923,0.31622776601683794,0.0,-0.0,-0.0,0.0,0
0.1778279410038923,0.31622776601683794,15.0,0.10655562379348607,0.10655562379348607,0.0,0
0.1778279410038923,0.31622776601683794,30.0,0.2026646874149926,0.2026646874149926,0.0,0
0.1778279410038923,0.31622776601683794,45.0,0.2819218943133365,0.2819218943133365,0.0,0
0.1778279410038923,0.31622776601683794,60.0,0.33855928263113877,0.33855928263113877,0.0,0
0.1778279410038923,0.31622776601683794,75.0,0.3708688554662909,0.3708688554662909,0.0,0
0.1778279410038923,0.31622776601683794,90.0,6.789498778017341,0.3811359920177375,6.4083627859996035,1
0.1778279410038923,1.0,0.0,-0.0,-0.0,0.0,0
0.1778279410038923,1.0,15.0,0.06456762065406933,0.06456762065406933,0.0,0
0.1778279410038923,1.0,30.0,0.12359654424761028,0.12359654424761028,0.0,0
